2016-present,"Affiliate, Minnesota Population Center"
2016-present,"Graduate Faculty in Population Studies, Minnesota Population Center"
Winter 2021,"Visiting Researcher, Institut National d'Etudes Demographiques, France"
Summer 2020,"Visiting Researcher, Institut National d'Etudes Demographiques, France (postponed due to Covid-19)"
Summer 2020,"Visiting Researcher, Stockholm University Demography Unit, Sweden (postponed due to Covid-19)"
Summer 2019,"Visiting Researcher, Max Planck Institute for Demographic Research, Germany"
Summer 2018,"Visiting Researcher, Stockholm University Demography Unit, Sweden"
Summer 2017,"Visiting Researcher, Stockholm University Demography Unit, Sweden"
Summer 2016,"Visiting Researcher, Institut National d'Etudes Demographiques, France"
Summer 2015,"Visiting Researcher, Institut National d'Etudes Demographiques, France"
Summer 2013,"Visiting Researcher, Vienna Institute for Demography, Austria"
Summer 2013,"Visiting Researcher, University of Ouagadougou, Burkina Faso"
2012-present,"Affiliate, Broom Center for Demography, University of California at Santa Barbara "
2013-2015,"Affiliate, Latin American Studies Program, University of Utah"
