name,title,website,img
Jaio Yu,Postdoctoral Associate,https://www.researchgate.net/profile/Jiao-Yu-6,jiao.png
Maryia Bakhtsiyarava,Postdoctoral Associate,https://scholar.google.com/citations?user=ltUP4kwAAAAJ&hl=en&authuser=1,maryia.jpg
Maya Luetke,Postdoctoral Associate,https://www.linkedin.com/in/maya-luetke-12425829,general.png
Nina R. Brooks,Postdoctoral Associate,https://www.ninarbrooks.com/,nina.jpeg
Grace Cooper,PhD Student,https://researchingaccessibility.weebly.com/about.html,grace.jpeg
Ruthie Burrows,PhD Student,http://www.ruthieburrows.com/,ruthie.jpg
Andrew Verdin,Research Scientist,https://andrew-verdin.dash.umn.edu/about/,andrew.jpg
Isabel Birkeland,Undergraduate Student,,isabel.jpg
Kassandra Fate,Undergraduate Student,,kassandra.jpg
Taylor Gnikpingo,Undergraduate Student,,taylor.jpeg
